Numéro,Titre,Artiste,Album,pochette,rien
1,Mal tèt,Philippe Blaze,Live Festival Tèyat Zabim,../assets/img/album cover/Mal_tèt.jpg,0
2,Dlo nan nan nanm,Philippe Blaze,Live Festival Tèyat Zabim,../assets/img/album cover/Mal_tèt.jpg,0
3,Vibwasyon,Philippe Blaze,Live Festival Tèyat Zabim,../assets/img/album cover/Mal_tèt.jpg,0
4,Lévé,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
5,Syel la tandé,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
6,An bato la,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
7,On jédi swa,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
8,Jénès,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
9,Polèt,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
10,An mwé,Philippe Blaze,Konsyans,../assets/img/album cover/Konsyans.jpg,0
11,A prèzan,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
12,Blagamas,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
13,Jòd'la,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
14,Vyé zèb,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
15,Piétòn-la,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
16,Latina,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
17,Mèsi Bondyé,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
18,Dlo,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
19,Fawniennt',Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
20,Fiyansaiy,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
21,Twopik,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
22,Zépon,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
23,Jwé mizik,Philippe Blaze,Eritaj,../assets/img/album cover/Eritaj.jpg,0
24,West Indies Blue,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
25,Pawol A Bondyé,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
26,Fò Pa Nou Dékourajé,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
27,Yenki Asisté,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
28,Tribilasiyon,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
29,Omaj A Vélo,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
30,Sonjé Bino,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
31,Fòs É Kouraj,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
32,Sajès,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
33,Nou Mélé,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
34,On Gran Sanblé,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
35,Lésé Tè-La Touné,Philippe Blaze,Misiyon,../assets/img/album cover/Misiyon.jpg,0
36,Obama,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
37,Tchoki,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
38,Lévé,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
39,Spirit Ka,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
40,Akolad,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
41,Laté Touné,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
42,Ras Mawon,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
43,Danjé,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
44,Babilòn,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
45,Akolad 2,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
46,Angelina Jolie Bateau,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
47,A Granbè,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
48,Joyeux Anniversaire,Ka Fé Tan,Ka Fé Tan,../assets/img/album cover/Ka Fé Tan.jpg,0
49,Kembé Red,Gilbert Coco,Kembé Red,../assets/img/album cover/Kembé Red.jpg,0
50,Lyannaj,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
51,A la repriz,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
52,La jane,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
53,Mon pè,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
54,www. Krey,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
55,An lakou la,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
56,Krey sonné,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
57,Jennes gwada,Krey,A la repriz,../assets/img/album cover/A la repriz.jpg,0
58,Mi Dlo Mi La Riviè,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
59,Pa Palé,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
60,Jwé,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
61,Byen Bwè Byen Manjé,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
62,Wouvè Zyé,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
63,Gwadloup Ou Bèl,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
64,Ti Kaz An Bwa La,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
65,Libèté,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
66,An Kalé Sen Loran,Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
67,Ti Kaz An Bwa La(Instrumental),Style Ka,Ti Kaz An Bwa La,../assets/img/album cover/Ti Kaz An Bwa La.jpg,0
68,Lonbrik,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
69,A pa fòt a Bondyé,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
70,Pa woulé pou yo,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
71,Anmwé,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
72,Paradòx,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
73,Pou fanm,Milflè,Lokans,../assets/img/album cover/Lokans.jpg,0
